papel,Tipo,Empresa,setor,Subsetor,Valor_de_mercado,Valor_da_firma,ult_balanco_processado,numero_de_acoes,Ativo,Disponibilidades,Ativo_Circulante,Div_Bruta,Div_Liquida,Patrimonio_Liq,PSR,VPA,LPA,P/l,P/VP,P/EBIT,Marg_Liquida%,Div_Yield_%,ROIC_%,ROE_%,Liquidez_Corr
VIVT3,ON,TELEF BRASIL ON,Telefonia Fixa,Telefonia Fixa,75231900000.0,77990000000.0,31/12/2018,1690980000.0,102561000000.0,3381330000.0,18363000000.0,6139440000.0,2758110000.0,71607000000.0,1.73,42.35,5.28,8.43,1.05,10.74,20.5,9.3,7.7,12.5,1.07
VIVT4,PN,TELEF BRASIL PN,Telefonia Fixa,Telefonia Fixa,82012800000.0,84770900000.0,31/12/2018,1690980000.0,102561000000.0,3381330000.0,18363000000.0,6139440000.0,2758110000.0,71607000000.0,1.89,42.35,5.28,9.19,1.15,11.71,20.5,9.4,7.7,12.5,1.07
VIVR3,ON NM,VIVER ON NM,Construção e Engenharia,Construção Civil,199163000.0,836710000.0,30/09/2018,463170000.0,769955000.0,9408000.0,600584000.0,646955000.0,637547000.0,-176874000.0,10.03,-0.38,-0.31,-1.4,-1.13,-6.06,-714.7,0.0,-4.4,80.5,0.77
VIVO3,ON,VIVO PARTICIPAÇÕES ON,Telefonia Móvel,Telefonia Móvel,26363000000.0,28241700000.0,30/06/2011,400714000.0,22435500000.0,1567410000.0,7055840000.0,3446180000.0,1878770000.0,9816290000.0,1.37,24.5,7.32,8.99,2.69,6.21,15.2,0.0,23.9,29.9,0.89
VIVO4,PN,VIVO PARTICIPAÇÕES PN,Telefonia Móvel,Telefonia Móvel,28771300000.0,30650000000.0,30/06/2011,400714000.0,22435500000.0,1567410000.0,7055840000.0,3446180000.0,1878770000.0,9816290000.0,1.49,24.5,7.32,9.81,2.93,6.78,15.2,0.0,23.9,29.9,0.89
VINE5,PNA,VICUNHA TEXTIL SA PNA,"Tecidos, Vestuário e Calçados",Fios e Tecidos,747742000.0,1212150000.0,30/09/2013,42389000.0,2143170000.0,210208000.0,1112110000.0,674617000.0,464409000.0,1118520000.0,0.59,26.39,4.26,4.14,0.67,4.64,14.4,0.0,8.6,16.1,1.91
VINE3,ON,VICUNHA TEXTIL SA ON,"Tecidos, Vestuário e Calçados",Fios e Tecidos,729091000.0,1193500000.0,30/09/2013,42389000.0,2143170000.0,210208000.0,1112110000.0,674617000.0,464409000.0,1118520000.0,0.58,26.39,4.26,4.04,0.65,4.52,14.4,0.0,8.6,16.1,1.91
VCPA4,PN N1,Fibria PN N1,Madeira e Papel,Papel e Celulose,14402600000.0,28958800000.0,31/12/2018,553734000.0,40818600000.0,6110890000.0,12127700000.0,20667100000.0,14556200000.0,14149000000.0,0.79,25.55,5.51,4.72,1.02,2.01,16.8,0.0,23.0,21.6,1.46
VIGR3,ON NM,VIGOR FOOD ON NM,Alimentos,Laticínios,4069200000.0,4992030000.0,31/03/2016,162768000.0,4527950000.0,420572000.0,1734200000.0,1343400000.0,922830000.0,1593560000.0,0.76,9.79,0.68,36.57,2.55,12.39,2.3,0.0,9.1,7.0,1.26
VGOR4,PN N1,VIGOR PN N1,Alimentos,Laticínios,971174000.0,1211800000.0,30/09/2008,165447000.0,661755000.0,15360000.0,203684000.0,255990000.0,240630000.0,135178000.0,1.23,0.82,-0.2,-29.58,7.18,27.32,-4.6,0.0,6.0,-24.3,1.04
